Damage over distance
Distance;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;;RPM
AR-15.50;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;66;64;62;60;58;56;54;52;50;48;47;;430
CAMRS;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;68;67;65;64;63;61;60;59;57;56;54;53;52;50;49;49;;420
Mk 14 EBR;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;58;55;51;47;44;42;42;42;42;42;42;;440
OTs-03;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;69;68;66;65;63;62;60;59;58;57;;380
SR-25;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;60;58;57;55;53;51;49;47;45;45;43;;440
ACS12;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;68;66;64;62;60;58;56;54;52;49;48;48;48;48;48;48;;300
BOSG.12.2;125;125;125;125;125;125;125;125;125;125;123;117;112;106;100;94;89;84;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;;600
CSRX 300;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;133;131;128;126;123;121;118;115;113;110;108;108;108;108;108;108;;50
TCSG12;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;62;60;58;56;55;53;51;49;47;45;44;44;44;44;44;44;;490
6P41;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;45;44;42;40;39;37;35;34;32;31;30;;680
ALDA 5.56;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;34;33;32;30;29;28;27;26;24;23;23;;900
DP27;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;48;46;45;43;41;40;38;36;34;33;32;;550
G8A1;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;36;35;34;32;31;30;29;27;26;25;24;;850
LMG-E;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;40;39;37;36;34;33;31;30;28;27;27;;720
M249 SAW;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;47;46;45;44;43;41;40;39;38;37;36;35;34;33;31;31;;650
M249;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;47;46;45;44;43;42;41;40;39;38;37;36;34;33;32;32;;650
T-95 LSW;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;45;44;43;42;41;40;39;38;37;35;34;33;32;31;30;30;;650
BEARING 9;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;32;31;30;29;28;27;26;25;23;22;22;22;22;22;22;22;22;22;22;22;22;22;22;;1100
C75 Auto;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;34;33;32;30;29;28;27;26;24;23;23;23;23;23;23;23;23;23;23;23;23;23;23;;1000
SMG-11;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;34;33;32;31;29;28;27;26;25;23;23;23;23;23;23;23;23;23;23;23;23;23;23;;1270
SMG-12;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;27;27;26;26;25;24;24;23;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;;1270
SPSMG9;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;32;31;30;29;28;27;26;25;24;22;22;22;22;22;22;22;22;22;22;22;22;22;22;;980
.44 Mag Semi-Auto;54;54;54;54;54;54;54;54;54;54;54;54;53;53;52;51;51;50;50;49;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;;480
1911 TACOPS;55;55;55;55;55;55;55;55;55;55;55;55;54;54;53;52;51;51;50;49;49;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;;480
5.7 USG;42;42;42;42;42;42;42;42;42;42;42;42;41;40;38;36;34;33;31;29;28;26;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;;480
D-50;71;71;71;71;71;71;71;71;71;71;71;71;70;66;63;59;56;52;48;45;41;38;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;;480
GSH-18;44;44;44;44;44;44;44;44;44;44;44;44;43;41;39;37;35;33;31;29;27;25;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;;480
KERATOS .357;78;78;78;78;78;78;78;78;78;78;78;78;77;76;75;73;72;71;69;68;67;66;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;;480
LFP586;78;78;78;78;78;78;78;78;78;78;78;78;77;72;68;64;59;55;50;46;41;37;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;;480
LUISON;65;65;65;65;65;65;65;65;65;65;65;65;64;61;59;57;55;52;50;48;46;43;41;39;37;34;32;30;28;26;23;21;19;16;14;13;13;13;13;13;13;;440
M45 MEUSOC;58;58;58;58;58;58;58;58;58;58;58;58;57;55;52;50;48;45;42;40;37;35;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;;480
MK1 9mm;48;48;48;48;48;48;48;48;48;48;48;48;47;45;43;41;39;37;35;32;30;28;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;;480
P-10C;40;40;40;40;40;40;40;40;40;40;40;40;39;38;36;35;33;32;30;29;27;26;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;;480
P12;44;44;44;44;44;44;44;44;44;44;44;44;43;41;39;37;35;33;31;29;27;25;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;;480
P226 MK 25;50;50;50;50;50;50;50;50;50;50;50;50;49;47;45;43;41;39;37;35;33;31;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;;480
P229;51;51;51;51;51;51;51;51;51;51;51;51;50;48;45;43;40;38;36;34;31;29;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;;480
P9;45;45;45;45;45;45;45;45;45;45;45;45;44;42;41;39;37;35;34;32;30;28;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;;480
PMM;61;61;61;61;61;61;61;61;61;61;61;61;61;58;55;52;47;45;42;39;35;32;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;;480
PRB92;42;42;42;42;42;42;42;42;42;42;42;42;41;40;38;36;34;33;31;29;28;26;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;;480
Q-929;60;60;60;60;60;60;60;60;60;60;60;60;59;56;53;49;46;44;40;38;35;31;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;;480
RG15;38;38;38;38;38;38;38;38;38;38;38;38;37;35;34;32;31;29;27;26;24;23;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;;480
SDP 9mm;47;47;47;47;47;47;47;47;47;47;47;47;46;44;41;39;37;35;33;30;28;26;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;;480
USP40;48;48;48;48;48;48;48;48;48;48;48;48;47;45;42;40;37;35;33;31;28;26;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;;480
Bailiff 410;0;0;0;0;0;26;24;22;19;18;17;16;15;15;15;14;14;13;13;13;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;;500
FO-12;0;0;0;0;0;25;24;22;20;18;17;16;15;14;13;12;11;10;10;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;;400
ITA12L;0;0;0;0;0;38;34;34;33;32;31;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;;80
ITA12S;0;0;0;0;0;29;19;19;18;17;16;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;;80
M1014;0;0;0;0;0;32;31;30;30;29;28;27;26;24;23;21;20;19;17;16;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;;215
M590A1;0;0;0;0;0;48;48;45;40;33;28;23;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;;85
M870;0;0;0;0;0;49;44;40;36;32;27;23;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;;100
SASG-12;0;0;0;0;0;37;34;32;30;27;25;22;20;18;15;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;;340
SG-CQB;0;0;0;0;0;52;48;43;37;32;27;27;26;26;25;25;24;24;23;23;22;22;21;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;;85
SIX12 SD;0;0;0;0;0;35;35;32;28;26;24;24;24;24;24;24;24;24;23;17;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;;220
SIX12;0;0;0;0;0;35;34;31;29;26;24;24;24;24;24;24;24;24;23;17;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;;220
SKELETON KEY;0;0;0;0;0;37;34;31;29;27;24;22;19;17;15;15;15;15;15;15;14;13;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;;220
SPAS-12;0;0;0;0;0;31;29;29;28;28;27;26;26;25;24;24;23;22;21;20;19;15;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;;220
SPAS-15;0;0;0;0;0;30;29;28;27;26;24;23;22;21;19;19;18;17;17;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;;300
SUPER 90;0;0;0;0;0;33;32;31;30;29;28;27;26;24;22;21;19;17;16;14;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;;220
SUPER SHORTY;0;0;0;0;0;35;34;31;28;24;21;18;15;15;15;15;15;15;15;14;14;14;13;13;12;12;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;;100
SUPERNOVA;55;55;55;55;55;55;55;55;55;49;44;39;35;30;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;;85
9mm C1;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;35;34;32;31;29;28;26;25;23;22;21;21;21;21;21;21;21;21;21;21;21;21;21;;575
9x19VSN;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;33;32;30;29;28;26;25;23;22;21;20;20;20;20;20;20;20;20;20;20;20;20;20;;750
AUG A3;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;35;34;32;31;29;28;27;25;24;22;21;21;21;21;21;21;21;21;21;21;21;21;21;;700
FMG-9;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;33;32;30;29;28;26;25;24;22;21;20;20;20;20;20;20;20;20;20;20;20;20;20;;800
K1A;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;35;34;32;31;29;28;27;25;24;22;21;21;21;21;21;21;21;21;21;21;21;21;21;;720
M12;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;39;37;36;34;33;31;29;28;26;25;24;24;24;24;24;24;24;24;24;24;24;24;24;;550
MP5;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;26;25;24;23;22;21;20;19;17;16;16;16;16;16;16;16;16;16;16;16;16;16;16;;800
MP5K;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;29;28;27;25;24;23;22;21;20;18;18;18;18;18;18;18;18;18;18;18;18;18;18;;800
MP5SD;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;29;28;27;26;24;23;22;21;20;19;18;18;18;18;18;18;18;18;18;18;18;18;18;;800
MP7;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;31;30;29;27;26;25;23;22;21;20;19;19;19;19;19;19;19;19;19;19;19;19;19;;900
MPX;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;25;24;23;22;21;20;19;18;17;16;15;15;15;15;15;15;15;15;15;15;15;15;15;;830
Mx4 Storm;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;25;24;23;22;21;20;19;18;17;16;15;15;15;15;15;15;15;15;15;15;15;15;15;;950
P10 RONI;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;25;24;23;22;21;20;19;18;17;16;15;15;15;15;15;15;15;15;15;15;15;15;15;;980
P90;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;21;20;19;19;18;17;16;15;14;13;13;13;13;13;13;13;13;13;13;13;13;13;13;;970
PDW9;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;33;32;30;29;28;26;25;24;22;21;20;20;20;20;20;20;20;20;20;20;20;20;20;;800
SCORPION EVO 3 A1;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;22;21;20;20;19;18;17;16;15;14;13;13;13;13;13;13;13;13;13;13;13;13;13;;1080
T-5 SMG;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;27;26;25;24;23;22;21;19;18;17;16;16;16;16;16;16;16;16;16;16;16;16;16;;900
UMP45;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;37;36;34;33;31;30;28;27;25;24;22;22;22;22;22;22;22;22;22;22;22;22;22;;600
UZK50GI;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;35;34;32;31;29;28;27;25;24;22;21;21;21;21;21;21;21;21;21;21;21;21;21;;700
VECTOR .45 ACP;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;22;22;21;20;19;18;17;16;15;14;13;13;13;13;13;13;13;13;13;13;13;13;13;;1200

Damage per second
Distance;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;;RPM
416-C CARBINE;469;469;469;469;469;469;469;469;469;469;469;469;469;469;469;469;469;469;469;469;469;469;469;469;469;456;432;419;395;382;358;345;321;308;284;271;271;271;271;271;271;;740
552 COMMANDO;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;529;506;483;460;448;426;402;380;356;334;322;322;322;322;322;322;;690
556XI;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;529;506;494;472;448;426;402;380;356;334;322;322;322;322;322;322;;690
AK-12;567;567;567;567;567;567;567;567;567;567;567;567;567;567;567;567;567;567;567;567;567;567;567;567;567;552;538;510;496;468;439;425;397;382;354;340;340;340;340;340;340;;850
AK-74M;477;477;477;477;477;477;477;477;477;477;477;477;477;477;477;477;477;477;477;477;477;477;477;477;477;466;444;433;412;390;368;347;336;314;292;282;282;282;282;282;282;;650
AR33;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;499;487;462;437;424;399;387;362;337;312;300;300;300;300;300;300;;749
ARX200;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;537;513;490;467;443;420;408;385;362;338;327;327;327;327;327;327;;700
AUG A2;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;492;480;456;432;408;396;372;348;336;312;300;300;300;300;300;300;;720
C7E;560;560;560;560;560;560;560;560;560;560;560;560;560;560;560;560;560;560;560;560;560;560;560;560;560;547;520;507;480;453;440;413;387;360;347;333;333;333;333;333;333;;800
C8-SFW;558;558;558;558;558;558;558;558;558;558;558;558;558;558;558;558;558;558;558;558;558;558;558;558;558;544;530;502;474;460;432;418;391;363;349;335;335;335;335;335;335;;837
COMMANDO 9;468;468;468;468;468;468;468;468;468;468;468;468;468;468;468;468;468;468;455;442;416;403;377;364;351;325;312;286;273;273;273;273;273;273;273;273;273;273;273;273;273;;780
F2;604;604;604;604;604;604;604;604;604;604;604;604;604;604;604;604;604;604;604;604;604;604;604;604;604;588;572;539;523;490;474;441;425;392;376;359;359;359;359;359;359;;980
F90;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;481;455;442;416;403;377;351;338;325;299;286;286;286;286;286;286;;780
G36C;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;481;468;442;429;403;390;364;351;325;312;286;286;286;286;286;286;;780
L85A2;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;514;491;469;447;436;413;391;368;357;324;313;313;313;313;313;313;;670
M4;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;538;512;488;475;450;425;400;375;362;338;325;325;325;325;325;325;;750
M762;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;535;511;487;462;450;426;402;377;365;341;328;328;328;328;328;328;;730
MK17 CQB;390;390;390;390;390;390;390;390;390;390;390;390;390;390;390;390;390;390;390;390;390;390;390;390;390;380;370;351;332;322;302;292;273;263;244;234;234;234;234;234;234;;585
PARA-308;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;498;477;455;444;422;401;379;358;336;314;303;303;303;303;303;303;;650
POF-9;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;419;395;382;358;345;321;308;284;271;259;259;259;259;259;259;;740
R4-C;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;559;545;530;502;487;459;430;416;387;373;344;330;330;330;330;330;330;;860
SC3000K;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;587;560;533;507;493;467;440;413;400;373;360;360;360;360;360;360;;800
SPEAR .308;490;490;490;490;490;490;490;490;490;490;490;490;490;490;490;490;490;490;490;490;490;490;490;490;490;478;455;432;420;397;373;362;338;315;303;292;292;292;292;292;292;;700
TYPE-89;567;567;567;567;567;567;567;567;567;567;567;567;567;567;567;567;567;567;567;567;567;567;567;567;567;552;538;510;482;468;439;425;397;368;354;340;340;340;340;340;340;;850
V308;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;502;478;455;443;420;397;373;362;338;315;303;303;303;303;303;303;;700
417;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;487;473;459;444;430;416;401;387;373;358;351;;430
AR-15.50;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;473;459;444;430;416;401;387;373;358;344;337;;430
CAMRS;483;483;483;483;483;483;483;483;483;483;483;483;483;483;483;483;483;483;483;483;483;483;483;483;483;476;469;455;448;441;427;420;413;399;392;378;371;364;350;343;343;;420
Mk 14 EBR;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;425;403;374;345;323;308;308;308;308;308;308;;440
OTs-03;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;437;431;418;412;399;393;380;374;367;361;;380
SR-25;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;440;425;418;403;389;374;359;345;330;330;315;;440
ACS12;345;345;345;345;345;345;345;345;345;345;345;345;345;345;345;345;345;345;345;345;345;345;345;345;345;340;330;320;310;300;290;280;270;260;245;240;240;240;240;240;240;;300
BOSG.12.2;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;1230;1170;1120;1060;1000;940;890;840;800;800;800;800;800;800;800;800;800;800;800;800;800;800;800;800;800;800;800;800;800;800;800;;600
CSRX 300;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;111;109;107;105;102;101;98;96;94;92;90;90;90;90;90;90;;50
TCSG12;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;506;490;474;457;449;433;416;400;384;368;359;359;359;359;359;359;;490
6P41;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;521;510;499;476;453;442;419;397;385;363;351;340;;680
ALDA 5.56;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;510;495;480;450;435;420;405;390;360;345;345;;900
DP27;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;440;422;412;394;376;367;348;330;312;302;293;;550
G8A1;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;510;496;482;453;439;425;411;382;368;354;340;;850
LMG-E;492;492;492;492;492;492;492;492;492;492;492;492;492;492;492;492;492;492;492;492;492;492;492;492;492;492;492;492;492;492;480;468;444;432;408;396;372;360;336;324;324;;720
M249 SAW;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;509;498;488;477;466;444;433;422;412;401;390;379;368;358;336;336;;650
M249;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;509;498;488;477;466;455;444;433;422;412;401;390;368;358;347;347;;650
T-95 LSW;498;498;498;498;498;498;498;498;498;498;498;498;498;498;498;498;498;498;498;498;498;498;498;498;498;488;477;466;455;444;433;422;412;401;379;368;358;347;336;325;325;;650
BEARING 9;605;605;605;605;605;605;605;605;605;605;605;605;605;605;605;605;605;605;587;568;550;532;513;495;477;458;422;403;403;403;403;403;403;403;403;403;403;403;403;403;403;;1100
